TABLE_NAME	COLUMN_NAME	DATA_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_COMMENT
activities	activity_description	text	YES	NULL	
activities	learning_outcomes	text	YES	NULL	
activities	activity_location	varchar	YES	NULL	
activities	instructor_id	bigint	YES	NULL	
activities	created_at	timestamp	YES	NULL	
activities	updated_at	timestamp	YES	NULL	
activity_enrollments	enrollment_notes	text	YES	NULL	
activity_enrollments	completion_date	date	YES	NULL	
activity_enrollments	completion_notes	text	YES	NULL	
activity_enrollments	enrolled_by	bigint	YES	NULL	
activity_enrollments	created_at	timestamp	YES	NULL	
activity_enrollments	updated_at	timestamp	YES	NULL	
activity_sessions	session_description	text	YES	NULL	
activity_sessions	location	varchar	YES	NULL	
activity_sessions	instructor_id	bigint	YES	NULL	
activity_sessions	session_notes	text	YES	NULL	
activity_sessions	max_participants	int	YES	NULL	
activity_sessions	created_at	timestamp	YES	NULL	
activity_sessions	updated_at	timestamp	YES	NULL	
assets	asset_description	text	YES	NULL	
assets	type_id	bigint	YES	NULL	
assets	location_id	bigint	YES	NULL	
assets	serial_number	varchar	YES	NULL	
assets	model_number	varchar	YES	NULL	
assets	manufacturer	varchar	YES	NULL	
assets	purchase_date	date	YES	NULL	
assets	purchase_price	decimal	YES	NULL	
assets	warranty_expiry	date	YES	NULL	
assets	assigned_to_user	int	YES	NULL	
assets	notes	text	YES	NULL	
assets	images	longtext	YES	NULL	
assets	created_at	timestamp	YES	NULL	
assets	updated_at	timestamp	YES	NULL	
asset_categories	category_description	text	YES	NULL	
asset_categories	created_at	timestamp	YES	NULL	
asset_categories	updated_at	timestamp	YES	NULL	
asset_locations	location_description	text	YES	NULL	
asset_locations	centre_id	varchar	YES	NULL	
asset_locations	building	varchar	YES	NULL	
asset_locations	floor	varchar	YES	NULL	
asset_locations	room	varchar	YES	NULL	
asset_locations	created_at	timestamp	YES	NULL	
asset_locations	updated_at	timestamp	YES	NULL	
asset_maintenance	completed_date	date	YES	NULL	
asset_maintenance	description	text	YES	NULL	
asset_maintenance	cost	decimal	YES	NULL	
asset_maintenance	performed_by	varchar	YES	NULL	
asset_maintenance	notes	text	YES	NULL	
asset_maintenance	created_at	timestamp	YES	NULL	
asset_maintenance	updated_at	timestamp	YES	NULL	
asset_maintenance_history	maintenance_id	int	YES	NULL	
asset_maintenance_history	cost	decimal	YES	NULL	
asset_maintenance_history	notes	text	YES	NULL	
asset_maintenance_history	created_at	timestamp	YES	NULL	
asset_maintenance_history	updated_at	timestamp	YES	NULL	
asset_movements	from_location_id	int	YES	NULL	
asset_movements	reason	varchar	YES	NULL	
asset_movements	notes	text	YES	NULL	
asset_movements	created_at	timestamp	YES	NULL	
asset_movements	updated_at	timestamp	YES	NULL	
asset_types	type_description	text	YES	NULL	
asset_types	default_maintenance_interval_days	int	YES	NULL	
asset_types	created_at	timestamp	YES	NULL	
asset_types	updated_at	timestamp	YES	NULL	
attendance_alerts	user_id	int	YES	NULL	
